['gender','age','birth_place','death_place','cause_of_death','musical_skills','genres']
['male','77','USA','USA','cancer','vocals','rock']
['male','77','USA','USA','cancer','bass','rock']
['male','77','USA','USA','cancer','piano','rock']
['male','77','USA','USA','cancer','guitar','rock']
['male','66','USA','USA','organ failure','vocals','soul']
['male','66','USA','USA','organ failure','vocals','pop']
['male','37','USA','USA','natural causes','trumpet','soul']
['male','37','USA','USA','natural causes','trumpet','jazz']
['male','79','USA','USA','stroke','saxophone','jazz']
['male','79','USA','USA','stroke','flute','jazz']
['male','75','USA','USA','heart attack','guitar','folk']
['male','75','USA','USA','heart attack','guitar','rock']
['male','75','USA','USA','heart attack','saxophone','folk']
['male','75','USA','USA','heart attack','saxophone','rock']
['female','85','España','España','natural causes','vocals','classical']
['male','90','USA','USA','natural causes','bass','jazz']
['male','68','USA','USA','cancer','bass','rock']
['male','68','USA','USA','cancer','guitar','rock']
['female','76','USA','USA','cancer','vocals','folk']
['female','76','USA','USA','cancer','vocals','soul']
['female','76','USA','USA','cancer','vocals','jazz']
['male','73','UK','UK','organ failure','drums','jazz']
['male','68','UK','UK','illness','guitar','rock']
['male','65','USA','USA','accident','drums','soul']
['male','65','USA','USA','accident','drums','jazz']
['male','65','USA','USA','accident','guitar','soul']
['male','65','USA','USA','accident','guitar','jazz']
['male','89','Schweiz','Deutschland','illness','trumpet','jazz']
['male','89','Schweiz','Deutschland','illness','drums','jazz']
['male','89','Schweiz','Deutschland','illness','piano','jazz']
['male','89','Schweiz','Deutschland','illness','bass','jazz']
['male','79','USA','USA','cancer','saxophone','jazz']
['male','74','USA','USA','illness','vocals','soul']
['male','78','Africa','Africa','cancer','trumpet','soul']
['male','78','Africa','Africa','cancer','trumpet','jazz']
['male','71','Kingdom','España','cancer','drums','rock']
['male','71','Kingdom','España','cancer','drums','soul']
['male','71','Kingdom','España','cancer','drums','jazz']
['male','61','USA','USA','accident','trumpet','jazz']
['male','61','USA','USA','accident','saxophone','jazz']
['male','61','USA','USA','accident','flute','jazz']
['male','65','USA','USA','natural causes','vocals','jazz']
['male','89','USA','USA','natural causes','vocals','rock']
['male','89','USA','USA','natural causes','vocals','soul']
['male','89','USA','USA','natural causes','piano','rock']
['male','89','USA','USA','natural causes','piano','soul']
['male','85','USA','USA','illness','drums','soul']
