['gender','age','birth_place','death_place','cause_of_death','genres']
['male','77','UK','Schweiz','natural causes','jazz']
['male','60','USA','USA','natural causes','soul']
['male','86','USA','USA','natural causes','soul']
['male','86','USA','USA','natural causes','jazz']
['male','60','USA','USA','cancer','soul']
['male','60','USA','USA','cancer','jazz']
['male','77','France','France','illness','electronic']
['male','77','France','France','illness','soul']
['male','77','France','France','illness','jazz']
['male','54','USA','USA','heart attack','soul']
['male','59','Italia','Canada','cancer','rock']
['male','78','USA','USA','illness','jazz']
['male','79','USA','Nederland','natural causes','soul']
['male','79','USA','Nederland','natural causes','jazz']
['male','53','USA','USA','illness','rock']
['male','76','USA','USA','illness','soul']
['male','76','USA','USA','illness','jazz']
['male','79','USA','USA','natural causes','folk']
['male','79','USA','USA','natural causes','soul']
['male','79','USA','USA','natural causes','jazz']
['male','70','UK','UK','organ failure','jazz']
['male','55','Jamaica','Jamaica','stroke','soul']
['male','44','USA','USA','accident','jazz']
['male','56','USA','USA','organ failure','electronic']
['male','56','USA','USA','organ failure','folk']
['male','56','USA','USA','organ failure','rock']
['male','56','USA','USA','organ failure','soul']
['male','73','USA','USA','organ failure','soul']
['male','73','USA','USA','organ failure','jazz']
['male','74','България','death:','organ failure','classical']
['male','76','USA','USA','organ failure','rock']
['male','76','USA','USA','organ failure','soul']
['male','76','USA','USA','organ failure','jazz']
['female','47','France','Corsica','cancer','rock']
['male','57','UK','Australia','heart attack','rock']
['male','57','UK','Australia','heart attack','pop']
['female','67','USA','USA','illness','soul']
['male','83','USA','USA','natural causes','jazz']
['male','56','UK','España','illness','rock']
['male','28','USA','USA','cancer','soul']
['male','63','USA','USA','overdose','soul']
['male','54','UK','France','heart attack','rock']
['male','54','UK','France','heart attack','soul']
['male','54','UK','France','heart attack','pop']
['male','88','UK','UK','natural causes','classical']
['male','71','USA','USA','organ failure','folk']
['male','71','USA','USA','organ failure','rock']
['male','71','USA','USA','organ failure','soul']
['male','71','USA','USA','organ failure','pop']
['male','56','USA','USA','cancer','rock']
['male','56','USA','USA','cancer','pop']
['male','73','USA','USA','natural causes','jazz']
['female','77','Cuba','USA','organ failure','folk']
['female','77','Cuba','USA','organ failure','pop']
['male','38','USA','USA','natural causes','soul']
['male','38','USA','USA','natural causes','jazz']
['male','58','USA','USA','organ failure','electronic']
['male','58','USA','USA','organ failure','soul']
['male','58','USA','USA','organ failure','pop']
['male','75','USA','USA','illness','jazz']
['male','57','UK','Éire','illness','rock']
['female','70','USA','France','cancer','pop']
['female','70','USA','France','cancer','folk']
['female','70','USA','France','cancer','soul']
['female','70','USA','France','cancer','jazz']
['female','59','USA','USA','cancer','pop']
['male','53','Vannin','USA','heart attack','rock']
['male','50','Türkiye','UK','heart attack','rock']
['male','51','USA','USA','accident','soul']
['male','51','USA','USA','accident','jazz']
['male','76','USA','Belgien','cancer','rock']
['male','76','USA','Belgien','cancer','soul']
['male','76','USA','Belgien','cancer','jazz']
['male','58','USA','USA','cancer','jazz']
['male','82','USA','USA','natural causes','jazz']
['female','64','USA','USA','cancer','folk']
['female','64','USA','USA','cancer','soul']
['female','64','USA','USA','cancer','pop']
['male','43','USA','USA','organ failure','jazz']
['male','85','USA','USA','natural causes','jazz']
['male','75','USA','USA','natural causes','soul']
['male','75','USA','USA','natural causes','jazz']
['male','57','UK','USA','heart attack','rock']
['male','45','UK','UK','organ failure','rock']
['male','45','UK','UK','organ failure','pop']
['male','64','USA','USA','illness','folk']
['male','64','USA','USA','illness','rock']
['male','81','USA','USA','cancer','soul']
['male','81','USA','USA','cancer','jazz']
['male','57','UK','USA','cancer','rock']
['female','81','USA','USA','illness','pop']
['female','81','USA','USA','illness','jazz']
['male','57','Deutschland','Deutschland','stroke','rock']
['male','72','USA','USA','heart attack','folk']
['male','72','USA','USA','heart attack','rock']
['male','58','UK','USA','cancer','electronic']
['male','58','UK','USA','cancer','folk']
['male','58','UK','USA','cancer','rock']
['male','58','UK','USA','cancer','pop']
['male','53','Deutschland','Deutschland','cancer','rock']
['male','89','USA','USA','natural causes','jazz']
['male','30','USA','USA','cancer','rock']
['female','22','USA','Bahamas','accident','hip hop']
['female','22','USA','Bahamas','accident','rock']
['female','22','USA','Bahamas','accident','soul']
['female','22','USA','Bahamas','accident','pop']
['male','49','USA','USA','natural causes','rock']
['male','54','Nederland','Nederland','suicide','rock']
['male','77','USA','USA','cancer','pop']
['male','77','USA','USA','cancer','folk']
['male','77','USA','USA','cancer','jazz']
['male','77','USA','USA','cancer','classical']
['male','83','USA','USA','natural causes','rock']
['male','83','USA','USA','natural causes','soul']
['male','55','UK','UK','cancer','rock']
['male','55','UK','UK','cancer','classical']
['male','64','USA','USA','organ failure','soul']
['male','64','USA','USA','organ failure','jazz']
['male','85','USA','USA','natural causes','jazz']
['male','85','USA','USA','natural causes','pop']
['male','49','USA','USA','illness','rock']
['male','74','USA','USA','accident','soul']
['male','65','Jamaica','Jamaica','murder','soul']
['female','57','Deutschland','Deutschland','cancer','folk']
['male','72','USA','USA','heart attack','soul']
['male','72','USA','USA','heart attack','jazz']
['male','53','Cuba','UK','cancer','folk']
['male','90','USA','USA','natural causes','jazz']
['female','41','UK','México','accident','pop']
['male','60','UK','UK','cancer','soul']
['male','60','UK','UK','cancer','jazz']
['male','53','USA','USA','cancer','rock']
['male','85','USA','USA','natural causes','jazz']
['male','66','USA','USA','stroke','soul']
['male','66','USA','USA','stroke','jazz']
['male','63','USA','USA','heart attack','rock']
['male','73','France','Schweiz','cancer','folk']
['male','79','USA','USA','organ failure','soul']
['male','79','USA','USA','organ failure','jazz']
['male','86','USA','USA','organ failure','jazz']
['male','90','USA','USA','natural causes','jazz']
['male','57','UK','UK','cancer','rock']
['male','57','UK','UK','cancer','soul']
['male','57','UK','UK','cancer','pop']
['male','74','USA','USA','natural causes','soul']
['male','74','USA','USA','natural causes','jazz']
['male','56','UK','USA','cancer','rock']
['male','59','Jamaica','USA','cancer','soul']
['male','70','USA','Nederland','cancer','rock']
['male','58','USA','USA','cancer','jazz']
['male','76','USA','USA','cancer','soul']
['male','76','USA','USA','cancer','jazz']
['male','83','USA','USA','natural causes','jazz']
['male','66','USA','USA','illness','rock']
['male','66','USA','USA','illness','pop']
['male','42','Jamaica','Jamaica','accident','rock']
['male','42','Jamaica','Jamaica','accident','soul']
['male','86','USA','USA','natural causes','jazz']
['male','79','USA','USA','natural causes','jazz']
['male','41','UK','UK','suicide','rock']
['male','41','UK','UK','suicide','pop']
['male','87','USA','USA','murder','electronic']
['male','87','USA','USA','murder','pop']
['male','82','USA','Deutschland','natural causes','classical']
['female','59','UK','UK','cancer','soul']
['female','59','UK','UK','cancer','pop']
['male','68','USA','Danmark','natural causes','jazz']
['male','36','Australia','Australia','overdose','rock']
['male','76','USA','USA','organ failure','soul']
['male','64','USA','USA','heart attack','jazz']
['male','82','USA','USA','illness','pop']
['male','82','USA','USA','illness','folk']
