['gender','age','birth_place','death_place','cause_of_death','musical_skills']
['male','64','UK','UK','illness','guitar']
['male','90','USA','USA','natural causes','drums']
['male','64','UK','UK','illness','vocals']
['male','64','UK','UK','illness','piano']
['male','64','UK','UK','illness','guitar']
['male','77','USA','USA','cancer','vocals']
['male','77','USA','USA','cancer','bass']
['male','77','USA','USA','cancer','piano']
['male','77','USA','USA','cancer','guitar']
['male','57','USA','USA','heart attack','piano']
['male','57','USA','USA','heart attack','flute']
['male','66','USA','USA','organ failure','vocals']
['male','82','USA','USA','organ failure','guitar']
['male','70','USA','USA','heart attack','trumpet']
['female','75','USA','USA','illness','vocals']
['female','66','USA','USA','cancer','vocals']
['female','66','USA','USA','cancer','drums']
['female','66','USA','USA','cancer','guitar']
['male','81','USA','USA','natural causes','vocals']
['male','37','USA','USA','natural causes','trumpet']
['male','72','UK','USA','accident','vocals']
['male','72','UK','USA','accident','guitar']
['male','72','UK','USA','accident','saxophone']
['male','81','USA','USA','cancer','bass']
['male','74','USA','USA','natural causes','piano']
['male','65','UK','UK','cancer','strings']
['male','79','USA','USA','stroke','saxophone']
['male','79','USA','USA','stroke','flute']
['male','75','USA','USA','heart attack','guitar']
['male','75','USA','USA','heart attack','saxophone']
['female','85','España','España','natural causes','vocals']
['male','76','USA','USA','natural causes','vocals']
['male','76','USA','USA','natural causes','guitar']
['male','61','UK','UK','cancer','trumpet']
['male','61','UK','UK','cancer','strings']
['male','61','UK','UK','cancer','piano']
['male','61','UK','UK','cancer','guitar']
['male','90','USA','USA','natural causes','bass']
['male','68','USA','USA','cancer','bass']
['male','68','USA','USA','cancer','guitar']
['male','82','USA','USA','illness','guitar']
['female','76','USA','USA','cancer','vocals']
['male','66','USA','USA','illness','guitar']
['male','70','UK','UK','illness','bass']
['female','64','Indonesia','España','heart attack','vocals']
['female','88','USA','USA','heart attack','guitar']
['male','63','USA','USA','natural causes','drums']
['male','73','UK','UK','organ failure','drums']
['male','68','UK','UK','illness','guitar']
['male','88','USA','USA','natural causes','vocals']
['male','65','USA','USA','accident','drums']
['male','65','USA','USA','accident','guitar']
['male','89','Schweiz','Deutschland','illness','trumpet']
['male','89','Schweiz','Deutschland','illness','drums']
['male','89','Schweiz','Deutschland','illness','piano']
['male','89','Schweiz','Deutschland','illness','bass']
['male','79','USA','USA','cancer','saxophone']
['female','60','Schweiz','Schweiz','natural causes','vocals']
['male','56','USA','Mexico','heart attack','drums']
['male','76','UK','UK','illness','vocals']
['male','72','Ireland','Ireland','illness','vocals']
['male','72','Ireland','Ireland','illness','trumpet']
['male','65','USA','USA','illness','guitar']
['female','66','USA','USA','cancer','drums']
['male','74','USA','USA','illness','vocals']
['male','70','UK','USA','illness','piano']
['male','78','Africa','Africa','cancer','trumpet']
['male','76','UK','UK','accident','vocals']
['male','76','UK','UK','accident','bass']
['male','71','Kingdom','España','cancer','drums']
['male','67','UK','UK','illness','guitar']
['male','76','UK','UK','natural causes','vocals']
['male','76','UK','UK','natural causes','saxophone']
['male','76','UK','UK','natural causes','flute']
['male','61','USA','USA','accident','trumpet']
['male','61','USA','USA','accident','saxophone']
['male','61','USA','USA','accident','flute']
['male','62','USA','USA','illness','vocals']
['male','62','USA','USA','illness','guitar']
['male','65','Cameroon','Brasil','cancer','vocals']
['male','65','Cameroon','Brasil','cancer','guitar']
['male','65','USA','USA','natural causes','vocals']
['male','89','USA','USA','natural causes','vocals']
['male','89','USA','USA','natural causes','piano']
['male','67','Deutschland','Deutschland','cancer','vocals']
['male','67','Deutschland','Deutschland','cancer','piano']
['male','85','USA','USA','illness','drums']
['male','66','USA','USA','overdose','vocals']
['male','66','USA','USA','overdose','guitar']
['male','77','Brasil','Brasil','heart attack','drums']
['male','56','USA','USA','illness','vocals']
['male','56','USA','USA','illness','guitar']
['male','67','USA','USA','cancer','vocals']
['male','67','USA','USA','cancer','bass']
['male','67','USA','USA','cancer','guitar']
['male','81','Brasil','Brasil','cancer','drums']
['male','72','USA','USA','organ failure','guitar']
['male','72','Canada','USA','heart attack','piano']
['male','47','Australia','Australia','illness','drums']
['male','47','Australia','Australia','illness','flute']
['male','47','Australia','Australia','illness','vocals']
['male','47','Australia','Australia','illness','guitar']
['male','47','Australia','Australia','illness','piano']
['female','65','USA','USA','illness','guitar']
['male','41','USA','USA','suicide','vocals']
['male','67','Österreich','Österreich','cancer','vocals']
['male','67','Österreich','Österreich','cancer','guitar']
['male','70','Africa','Africa','cancer','vocals']
['male','70','Africa','Africa','cancer','guitar']
['male','43','USA','USA','organ failure','drums']
['male','69','USA','USA','illness','vocals']
['male','69','USA','USA','illness','piano']
['male','52','USA','USA','suicide','vocals']
['male','62','Zealand','Australia','illness','vocals']
['male','62','Zealand','Australia','illness','guitar']
['male','77','USA','USA','cancer','drums']
['male','70','UK','USA','accident','guitar']
['male','71','USA','USA','natural causes','guitar']
['male','67','UK','UK','heart attack','strings']
['male','81','USA','USA','illness','saxophone']
['male','63','USA','USA','illness','guitar']
['female','64','USA','USA','heart attack','vocals']
['male','87','USA','USA','natural causes','bass']
['male','86','USA','Danmark','illness','piano']
['male','73','USA','USA','organ failure','piano']
['male','73','USA','USA','organ failure','vocals']
['male','73','USA','USA','organ failure','bass']
['male','73','USA','USA','organ failure','guitar']
['male','76','USA','USA','organ failure','vocals']
['female','81','Jamaica','USA','cancer','drums']
['male','67','UK','UK','cancer','piano']
['male','67','UK','UK','cancer','vocals']
['male','67','UK','UK','cancer','bass']
['male','67','UK','UK','cancer','guitar']
['male','69','USA','USA','murder','drums']
['male','74','Deutschland','Deutschland','illness','vocals']
['male','74','Deutschland','Deutschland','illness','guitar']
['male','80','USA','USA','natural causes','drums']
['male','78','Deutschland','Deutschland','illness','drums']
['male','75','गणराज्य','UK','natural causes','vocals']
['male','75','गणराज्य','UK','natural causes','guitar']
['male','68','UK','España','illness','vocals']
['male','68','UK','España','illness','piano']
['male','68','UK','España','illness','guitar']
['male','69','UK','UK','cancer','vocals']
['male','69','UK','UK','cancer','bass']
['male','69','UK','UK','cancer','guitar']
['male','79','USA','Australia','natural causes','piano']
['male','74','USA','USA','illness','piano']
['male','82','Canada','USA','illness','vocals']
['male','65','Deutschland','Deutschland','heart attack','guitar']
['male','73','USA','USA','illness','vocals']
['male','84','Jamaica','Jamaica','illness','trumpet']
['male','56','UK','UK','natural causes','leadership']
['male','56','UK','UK','natural causes','strings']
['male','75','Reich','Deutschland','illness','piano']
['male','77','USA','USA','illness','guitar']
['male','39','Belgique/België','Belgique','natural causes','saxophone']
['male','75','USA','USA','illness','drums']
['male','84','USA','USA','natural causes','guitar']
['male','72','USA','USA','cancer','piano']
['male','44','USA','USA','organ failure','trumpet']
['male','68','USA','Japan','natural causes','piano']
['male','72','UK','UK','stroke','vocals']
['male','72','UK','UK','stroke','drums']
['male','72','UK','UK','stroke','guitar']
['male','75','UK','UK','natural causes','strings']
['male','75','UK','UK','natural causes','guitar']
['male','71','UK','UK','illness','piano']
['male','71','UK','UK','illness','guitar']
['male','68','Deutschland','Deutschland','organ failure','drums']
['female','84','Japan','Japan','organ failure','piano']
['male','79','USA','USA','illness','vocals']
['male','79','USA','USA','illness','guitar']
['male','71','UK','USA','suicide','piano']
['male','71','Brasil','Brasil','cancer','drums']
['male','90','UK','UK','natural causes','piano']
['male','69','Deutschland','Deutschland','stroke','vocals']
['male','69','Deutschland','Deutschland','stroke','guitar']
['male','69','Deutschland','Deutschland','stroke','flute']
['female','57','USA','USA','organ failure','vocals']
['male','67','Besatzungszone','Deutschland','suicide','vocals']
['male','67','Besatzungszone','Deutschland','suicide','guitar']
['male','74','USA','USA','accident','vocals']
['male','74','USA','USA','accident','drums']
['male','74','USA','USA','organ failure','vocals']
['male','74','USA','USA','organ failure','guitar']
['male','68','UK','sea','cancer','bass']
['male','67','USA','USA','illness','vocals']
['male','67','USA','USA','illness','guitar']
['male','67','England','UK','natural causes','drums']
['male','64','USA','USA','heart attack','trumpet']
['male','76','USA','USA','cancer','vocals']
['male','69','UK','USA','cancer','vocals']
['male','69','UK','USA','cancer','piano']
['male','69','UK','USA','cancer','guitar']
['male','69','UK','USA','cancer','saxophone']
['male','90','France','Deutschland','natural causes','leadership']
['male','70','UK','USA','organ failure','vocals']
['male','70','UK','USA','organ failure','bass']
['male','48','USA','USA','natural causes','drums']
['male','74','USA','USA','organ failure','vocals']
['male','76','USA','USA','cancer','guitar']
['male','48','USA','USA','overdose','vocals']
['male','81','Jamaica','Jamaica','natural causes','piano']
['male','61','UK','UK','organ failure','drums']
['male','67','USA','USA','cancer','guitar']
['male','64','UK','UK','natural causes','vocals']
['male','82','USA','USA','illness','saxophone']
['male','75','USA','USA','illness','bass']
['male','75','USA','USA','illness','saxophone']
['male','65','USA','USA','illness','guitar']
['male','80','Cuba','UK','natural causes','trumpet']
['male','66','UK','UK','heart attack','piano']
['male','78','USA','USA','heart attack','vocals']
['male','78','USA','USA','heart attack','guitar']
['male','74','USA','USA','heart attack','guitar']
['male','78','USA','USA','natural causes','guitar']
['male','67','UK','USA','illness','vocals']
['male','67','UK','USA','illness','drums']
['male','67','UK','USA','illness','bass']
